序号	名称	数据主体	主体类型	数据类型（公共企业个人）	场景类型（服务对象）	场景类型（属性）	数据协同机制	是否跳转平台（微信）	是否平台授权	平台名称	工具	备注
1	苏式商城	（苏周到）；商家	政府；企业	企业、个人	面向用户	融合	交互	否	否			智能客服界面显示的是苏周到便民消费服务平台，准入企业都是优质大品牌确认收货前资金由平台监管；苏州市商务局广泛发动板块和企业优选产品
2	医保购药	方橙式（光大银行）；（药店）	企业	企业、个人	面向用户	融合	交互	否	是	方橙式APP；药店商城（方橙式）		方橙式是由中国光大银行股份有限公司苏州分行首创的互联网医疗健康惠民平台，在前面的医疗健康专区有提到；药店：礼安、海王星辰、雷允上
3	乐游苏州	（苏周到）；携程、马蜂窝	政府；企业	企业、个人	面向用户	融合	交互	否	是	携程旅行		马蜂窝需要下载APP
4	一刻钟生活圈		政府	公共	面向用户	单独	直接提供	否	否			一刻钟便民生活圈（积分落户办理地点地图），前面是在户籍新政里面的
5	金融超市	银行	企业	企业、个人	面向用户	融合	交互	否	是	宁波银行宁来花；中国邮政储蓄银行苏州分行		金融产品均由银行保险等持牌金融机构提供平台仅提供金融产品广告展示与送达服务
6	信用额度	东吴人寿；易贷码；银行	企业	企业、个人	面向用户	融合	交互	否	是	信用额度		东吴人寿（政府主导，苏州定制）
7	电影票	金保证网络科技有限公司；影院	企业	企业、个人	面向用户	融合	交互	否	是	金保证网络科技有限公司		"上海金保证网络科技有限公司,地处上海漕河泾开发区,公司主力产品“斗票网” 全国首家真正电影比价购票平台,主流电影票购票平台,实现轻松购票、快乐购票"
8	沪苏生活圈	Metro大都会（上海申通地铁集团有限公司）；苏周到（苏州市大数据集团有限公司）	企业	企业、个人	面向用户	融合	交互	否	否			该项目将“苏周到”APP与“大都会”APP之间对接用户在一个平台登录即可实现其在两个平台的用户信息自动关联
9	出行补贴				面向用户	融合	交互	否	是	T3出行，		中国人民保险；数字人民币购车补贴；携程租车、购票
10	充值特惠											
11	职业培训				面向用户	融合	交互	否	否			中信书院APP可以领取图书；青少年培训是新东方课程；职业技能培训有金管家、全创培训等；学历考公为阳光公考；乐学苏州由几个机构发布文章（公众号文章居多）
